Date,store,product,number_sold
2010-01-01,0,0,801
2010-01-02,0,0,810
2010-01-03,0,0,818
2010-01-04,0,0,796
2010-01-05,0,0,808
2010-01-06,0,0,812
2010-01-07,0,0,830
2010-01-08,0,0,812
2010-01-09,0,0,817
2010-01-10,0,0,832
2010-01-11,0,0,834
2010-01-12,0,0,826
2010-01-13,0,0,822
2010-01-14,0,0,811
2010-01-15,0,0,836
2010-01-16,0,0,841
2010-01-17,0,0,818
2010-01-18,0,0,827
2010-01-19,0,0,822
2010-01-20,0,0,817
2010-01-21,0,0,834
2010-01-22,0,0,825
2010-01-23,0,0,821
2010-01-24,0,0,840
2010-01-25,0,0,812
2010-01-26,0,0,835
2010-01-27,0,0,833
2010-01-28,0,0,833
2010-01-29,0,0,833
2010-01-30,0,0,840
2010-01-31,0,0,826
2010-02-01,0,0,835
2010-02-02,0,0,822
2010-02-03,0,0,833
2010-02-04,0,0,835
2010-02-05,0,0,843
2010-02-06,0,0,833
2010-02-07,0,0,839
2010-02-08,0,0,839
2010-02-09,0,0,855
2010-02-10,0,0,840
2010-02-11,0,0,849
2010-02-12,0,0,845
2010-02-13,0,0,861
2010-02-14,0,0,853
2010-02-15,0,0,844
2010-02-16,0,0,842
2010-02-17,0,0,846
2010-02-18,0,0,843
2010-02-19,0,0,843
2010-02-20,0,0,849
2010-02-21,0,0,858
2010-02-22,0,0,870
2010-02-23,0,0,855
2010-02-24,0,0,837
2010-02-25,0,0,856
2010-02-26,0,0,846
2010-02-27,0,0,853
2010-02-28,0,0,860
2010-03-01,0,0,848
2010-03-02,0,0,861
2010-03-03,0,0,848
2010-03-04,0,0,868
2010-03-05,0,0,861
2010-03-06,0,0,846
2010-03-07,0,0,868
2010-03-08,0,0,850
2010-03-09,0,0,879
2010-03-10,0,0,876
2010-03-11,0,0,846
2010-03-12,0,0,864
2010-03-13,0,0,860
2010-03-14,0,0,867
2010-03-15,0,0,867
2010-03-16,0,0,871
2010-03-17,0,0,872
2010-03-18,0,0,857
2010-03-19,0,0,872
2010-03-20,0,0,860
2010-03-21,0,0,873
2010-03-22,0,0,866
2010-03-23,0,0,875
2010-03-24,0,0,874
2010-03-25,0,0,870
2010-03-26,0,0,864
2010-03-27,0,0,854
2010-03-28,0,0,883
2010-03-29,0,0,862
2010-03-30,0,0,866
2010-03-31,0,0,875
2010-04-01,0,0,852
2010-04-02,0,0,873
2010-04-03,0,0,850
2010-04-04,0,0,854
2010-04-05,0,0,863
2010-04-06,0,0,871
2010-04-07,0,0,848
2010-04-08,0,0,880
2010-04-09,0,0,883
2010-04-10,0,0,877
2010-04-11,0,0,877
2010-04-12,0,0,873
2010-04-13,0,0,863
2010-04-14,0,0,855
2010-04-15,0,0,844
2010-04-16,0,0,864
2010-04-17,0,0,864
2010-04-18,0,0,857
2010-04-19,0,0,866
2010-04-20,0,0,865
2010-04-21,0,0,867
2010-04-22,0,0,862
2010-04-23,0,0,862
2010-04-24,0,0,852
2010-04-25,0,0,864
2010-04-26,0,0,865
2010-04-27,0,0,865
2010-04-28,0,0,841
2010-04-29,0,0,875
2010-04-30,0,0,861
2010-05-01,0,0,854
2010-05-02,0,0,876
2010-05-03,0,0,855
2010-05-04,0,0,872
2010-05-05,0,0,850
2010-05-06,0,0,858
2010-05-07,0,0,843
2010-05-08,0,0,849
2010-05-09,0,0,843
2010-05-10,0,0,857
2010-05-11,0,0,859
2010-05-12,0,0,866
2010-05-13,0,0,872
2010-05-14,0,0,860
2010-05-15,0,0,874
2010-05-16,0,0,867
2010-05-17,0,0,857
2010-05-18,0,0,842
2010-05-19,0,0,834
2010-05-20,0,0,843
2010-05-21,0,0,843
2010-05-22,0,0,832
2010-05-23,0,0,846
2010-05-24,0,0,828
2010-05-25,0,0,840
2010-05-26,0,0,836
2010-05-27,0,0,859
2010-05-28,0,0,845
2010-05-29,0,0,838
2010-05-30,0,0,860
2010-05-31,0,0,818
2010-06-01,0,0,847
2010-06-02,0,0,829
2010-06-03,0,0,831
2010-06-04,0,0,849
2010-06-05,0,0,850
2010-06-06,0,0,819
2010-06-07,0,0,840
2010-06-08,0,0,846
2010-06-09,0,0,831
2010-06-10,0,0,840
2010-06-11,0,0,827
2010-06-12,0,0,837
2010-06-13,0,0,832
2010-06-14,0,0,833
2010-06-15,0,0,821
2010-06-16,0,0,838
2010-06-17,0,0,829
2010-06-18,0,0,812
2010-06-19,0,0,807
2010-06-20,0,0,813
2010-06-21,0,0,807
2010-06-22,0,0,821
2010-06-23,0,0,833
2010-06-24,0,0,824
2010-06-25,0,0,821
2010-06-26,0,0,809
2010-06-27,0,0,823
2010-06-28,0,0,811
2010-06-29,0,0,830
2010-06-30,0,0,797
2010-07-01,0,0,812
2010-07-02,0,0,811
2010-07-03,0,0,791
2010-07-04,0,0,811
2010-07-05,0,0,816
2010-07-06,0,0,814
2010-07-07,0,0,812
2010-07-08,0,0,801
2010-07-09,0,0,813
2010-07-10,0,0,808
2010-07-11,0,0,796
2010-07-12,0,0,798
2010-07-13,0,0,807
2010-07-14,0,0,810
2010-07-15,0,0,797
2010-07-16,0,0,811
2010-07-17,0,0,794
2010-07-18,0,0,802
2010-07-19,0,0,804
2010-07-20,0,0,799
2010-07-21,0,0,795
2010-07-22,0,0,806
2010-07-23,0,0,802
2010-07-24,0,0,807
2010-07-25,0,0,791
2010-07-26,0,0,801
2010-07-27,0,0,797
2010-07-28,0,0,804
2010-07-29,0,0,788
2010-07-30,0,0,756
2010-07-31,0,0,776
2010-08-01,0,0,803
2010-08-02,0,0,791
2010-08-03,0,0,786
2010-08-04,0,0,788
2010-08-05,0,0,773
2010-08-06,0,0,783
2010-08-07,0,0,783
2010-08-08,0,0,777
2010-08-09,0,0,795
2010-08-10,0,0,782
2010-08-11,0,0,775
2010-08-12,0,0,777
2010-08-13,0,0,777
2010-08-14,0,0,783
2010-08-15,0,0,773
2010-08-16,0,0,774
2010-08-17,0,0,764
2010-08-18,0,0,789
2010-08-19,0,0,779
2010-08-20,0,0,767
2010-08-21,0,0,785
2010-08-22,0,0,765
2010-08-23,0,0,766
2010-08-24,0,0,794
2010-08-25,0,0,770
2010-08-26,0,0,763
2010-08-27,0,0,783
2010-08-28,0,0,761
2010-08-29,0,0,768
2010-08-30,0,0,782
2010-08-31,0,0,779
2010-09-01,0,0,764
2010-09-02,0,0,779
2010-09-03,0,0,782
2010-09-04,0,0,751
2010-09-05,0,0,761
2010-09-06,0,0,755
2010-09-07,0,0,767
2010-09-08,0,0,755
2010-09-09,0,0,769
2010-09-10,0,0,759
2010-09-11,0,0,774
2010-09-12,0,0,749
2010-09-13,0,0,768
2010-09-14,0,0,771
2010-09-15,0,0,766
2010-09-16,0,0,762
2010-09-17,0,0,797
2010-09-18,0,0,774
2010-09-19,0,0,754
2010-09-20,0,0,775
2010-09-21,0,0,763
2010-09-22,0,0,756
2010-09-23,0,0,766
2010-09-24,0,0,774
2010-09-25,0,0,775
2010-09-26,0,0,764
2010-09-27,0,0,782
2010-09-28,0,0,762
2010-09-29,0,0,774
2010-09-30,0,0,763
2010-10-01,0,0,776
2010-10-02,0,0,775
2010-10-03,0,0,776
2010-10-04,0,0,757
2010-10-05,0,0,753
2010-10-06,0,0,773
2010-10-07,0,0,770
2010-10-08,0,0,761
2010-10-09,0,0,765
2010-10-10,0,0,771
2010-10-11,0,0,777
2010-10-12,0,0,769
2010-10-13,0,0,773
2010-10-14,0,0,766
2010-10-15,0,0,779
2010-10-16,0,0,770
2010-10-17,0,0,771
2010-10-18,0,0,757
2010-10-19,0,0,762
2010-10-20,0,0,767
2010-10-21,0,0,753
2010-10-22,0,0,764
2010-10-23,0,0,768
2010-10-24,0,0,773
2010-10-25,0,0,766
2010-10-26,0,0,759
2010-10-27,0,0,752
2010-10-28,0,0,766
2010-10-29,0,0,778
2010-10-30,0,0,758
2010-10-31,0,0,765
2010-11-01,0,0,772
2010-11-02,0,0,766
2010-11-03,0,0,768
2010-11-04,0,0,769
2010-11-05,0,0,771
2010-11-06,0,0,778
2010-11-07,0,0,777
2010-11-08,0,0,777
2010-11-09,0,0,779
2010-11-10,0,0,783
2010-11-11,0,0,769
2010-11-12,0,0,782
2010-11-13,0,0,780
2010-11-14,0,0,771
2010-11-15,0,0,773
2010-11-16,0,0,771
2010-11-17,0,0,791
2010-11-18,0,0,786
2010-11-19,0,0,805
2010-11-20,0,0,800
2010-11-21,0,0,764
2010-11-22,0,0,797
